店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所
梅の花 千里中央店,千里中央駅 49m,豆腐料理、日本料理、しゃぶしゃぶ,和の粋を感じる大小様々な個室《２名様用～最大36名様迄》シルクのような出来立て湯葉をどうぞ,3.08,63,1176,"￥4,000～￥4,999","￥2,000～￥2,999",大阪府豊中市新千里東町1-1-5 大阪モノレール千里中央ビル　１Ｆ・Ｂ１Ｆ
がんこ和食 千里中央店,千里中央駅 96m,居酒屋、寿司、海鮮,【千里中央駅 2番出口】本格懐石をカジュアルに。飲み放題付コースも多数で宴会利用に最適です◎,3.08,99,828,"￥2,000～￥2,999",-,大阪府豊中市新千里東町1-5-3 千里朝日阪急ビル2F
タータンナディ,豊中市,インドカレー、インド料理、タイ料理,豊中市◇５つ星ホテルで経験を積んだシェフによる、食材にとことんこだわったアジア料理,3.42,166,5427,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市向丘3-11-45 ローザ向丘　１Ｆ
創作串焼 Garage 豊中駅南口店,豊中駅 247m,居酒屋、焼き鳥、しゃぶしゃぶ,豊中駅│12月1日オープン！自慢のお肉と旬魚旬菜の創作串と野菜しゃぶしゃぶを楽しめる♪,3.05,4,155,"￥4,000～￥4,999",-,大阪府豊中市岡上の町3-2-3
炉端と酒,庄内駅 238m,居酒屋、海鮮、ろばた焼き,庄内駅3分◆お造りや炭焼きで旬の食材を味わう！厳選の日本酒や焼酎が充実◎深夜25時まで営業,3.05,11,251,"￥4,000～￥4,999",-,大阪府豊中市庄内西町2-6-1
串家物語 ＬＡＢＩ千里店,千里中央駅 518m,串揚げ、居酒屋、ビュッフェ,【LABI千里 4F】「揚げる楽しさ、選ぶわがまま！」 すべてのメニューが食べ放題！！,3.01,37,575,"￥2,000～￥2,999","￥2,000～￥2,999",大阪府豊中市新千里東町1-2-20 LABI千里 4F
和食しゃぶしゃぶ かごの屋 服部店,服部天神駅 257m,日本料理、しゃぶしゃぶ、ビュッフェ,旬の味覚をとり入れ、出来立ての美味しさを提供する「かごの屋」,3.05,33,403,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市服部南町1-7-7
とり銀,服部天神駅 390m,焼肉、焼き鳥、居酒屋,比内地鶏や国産鶏を焼肉スタイルで♪秘伝のタレと白米と一緒に◎,3.09,20,628,"￥3,000～￥3,999",～￥999,大阪府豊中市服部南町3-4-1
千里中央 海鮮食堂おーうえすと,千里中央駅 257m,海鮮、居酒屋、食堂,【千里中央駅直結！徒歩30秒以内】漁港直送鮮魚が旨い！毎日昼飲みもできる！海鮮居酒屋食堂,3.4,167,2618,"￥3,000～￥3,999",～￥999,大阪府豊中市新千里東町1-3-20 B1F
豊麺,曽根駅 566m,ラーメン、油そば・まぜそば、麺類,名古屋コーチンの中華そば・しじみベースの貝出汁そばを満喫！アットホームな空間は日常使いに◎,3.38,110,1468,"￥1,000～￥1,999",～￥999,大阪府豊中市南桜塚1-4-3 スタジオ桜塚 102
ステーキハウス華,桃山台駅 545m,ステーキ、海鮮、鉄板焼き,◇接待・記念日のお食事に◇特選黒毛和牛・鮑は極上の“鉄板焼き”に◎特別なお食事を楽しんで,3.28,64,2988,"￥10,000～￥14,999","￥2,000～￥2,999",大阪府豊中市上新田3-2-10
炭焼 お家はん,庄内駅 116m,焼き鳥、居酒屋,庄内駅3分◆炭火で焼き上げる味自慢の焼鳥◎ご宴会等にお得なコース有！ゆっくり寛げる空間,3.05,15,315,"￥4,000～￥4,999",-,大阪府豊中市庄内西町2-20-31
かに道楽 豊中店,少路（大阪モノレール）駅 361m,かに、日本料理、海鮮,【少路駅5分】ゆったりとした和空間×「かにすき」をはじめとした自慢のかに料理でおもてなし,3.17,104,833,"￥6,000～￥7,999","￥3,000～￥3,999",大阪府豊中市少路1-1-5
甘太郎 千里中央店,千里中央駅 92m,居酒屋、焼肉、しゃぶしゃぶ,各線千里中央駅からスグ♪あなたの「いつもの居酒屋」に！,3.06,89,1535,"￥3,000～￥3,999","￥2,000～￥2,999",大阪府豊中市新千里東町1-5-3 千里朝日阪急ビル　２２Ｆ
あぶりや 庄内店,庄内駅 327m,焼肉、ホルモン,プロ厳選のお肉と贅沢なサイドメニュー。ひとつ上の食べ放題にこだわった焼肉店,3.06,29,818,"￥4,000～￥4,999","￥4,000～￥4,999",大阪府豊中市庄内西町4-1-21
もつ鍋 宝来,服部天神駅 872m,もつ鍋、居酒屋,江坂の隠れ家で味わう、絶品九州黒毛和牛もつ鍋と新鮮ホルモン料理。グループ利用や宴会にも最適,3.19,24,689,"￥4,000～￥4,999",-,大阪府豊中市浜2-16-1
SALVATORE CUOMO & BAR　千里中央,千里中央駅 93m,ピザ、イタリアン、ビュッフェ,世界的祭典「PIZZAFEST」で最優秀賞を受賞◆ナポリ薪窯ピッツァが楽しめるお店◎,3.32,156,6495,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-1-3 SENRITOよみうり 　2F
味処 祭,桃山台駅 552m,居酒屋、ふぐ、寿司,【桃山台駅7分】厳選食材で作り上げる料理は200品以上！お好きな品を肴に楽しく飲める居酒屋,3.21,29,744,"￥5,000～￥5,999",-,大阪府豊中市新千里南町3-1-24 桃山台グリーンピア　１Ｆ
慶州館,岡町駅 291m,焼肉、ホルモン、居酒屋,リピーターが絶えない人気店◎特選和牛【万葉牛】で至福のひとときを！,3.63,173,3857,"￥5,000～￥5,999",-,大阪府豊中市中桜塚2-18-8 丸正ビル　２Ｆ
華や 緑地公園店,緑地公園駅 170m,中華料理,至高の味と最高のおもてなしを・・・【宴会のご予約承り中♪ご予算等お気軽にご相談ください。】,3.44,206,6317,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市寺内2-2-26 ロワール緑地 102号
モルト・ボーノ 豊中稲荷神社前店,豊中駅 451m,パスタ、ピザ、イタリアン,【豊中駅約6分】もちもちの生パスタや丁寧に焼き上げるピザを堪能！お酒に合う一品も充実◎,3.21,65,1442,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市本町5-2-3 ハイムラポールPartX 1F
杵屋 豊中エトレ店,豊中駅 52m,うどん、そば、居酒屋,熟練職人が製麺する、コシの強い讃岐うどん。生醤油や関西風出汁で気軽に味わう◎,3.06,31,155,-,～￥999,大阪府豊中市玉井町1-1-1 エトレ豊中 4F
千里中央海鮮食堂 はなれ おーうえすと,千里中央駅 271m,居酒屋、海鮮、寿司,2025年11月1日オープン❗️＜喫煙室完備＞漁港直送鮮魚を味わえる海鮮居酒屋食堂っ！,3.07,7,164,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-3-20 せんちゅうパル B1F 17区画
ステーキのどん 中環柴原店,柴原阪大前駅 83m,ステーキ、ハンバーグ、ファミレス,ステーキ業界の「どん！」圧倒的ボリューム＆コスパでお腹も財布も大満足！,3.06,68,564,"￥1,000～￥1,999",～￥999,大阪府豊中市刀根山元町5-50
炭火焼地鶏料理 きたろう。,岡町駅 346m,焼き鳥、居酒屋、日本料理,≪岡町駅2分≫季節で異なるブランド地鶏使用！紀州備長炭で焼く串焼きと鶏創作料理をご堪能,3.2,42,1529,"￥4,000～￥4,999",-,大阪府豊中市中桜塚2-18-2
OLU BURGER KYOTO RYOKUCHI,緑地公園駅 161m,ハンバーガー、カフェ、バル,京都バーガーランキング1位タイ大阪5位タイ！京都和牛100%使用した肉感たっぷりバーガー！,3.45,163,5280,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市寺内2-2-26 ロワール緑地 1F
