通し番号A,店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所,緯度,経度
1,街のCafe,豊中市,カフェ,,,1,,-,-,大阪府豊中市赤阪1-1-9-1,34.7861159,135.4766837
2,もくもく亭 豊中店,豊中市,焼肉,,3.16,35,731,"￥4,000～￥4,999",-,大阪府豊中市赤阪1丁目1-17,34.7866801,135.4772269
3,BAR GEAR,豊中市,バー,,3.02,1,53,"￥2,000～￥2,999",-,大阪府豊中市旭丘5-104,34.7875643,135.4821891
4,ガスト 豊中旭丘店,豊中市,ファミレス,,3.03,18,78,"￥1,000～￥1,999",～￥999,大阪府豊中市旭丘4-130,34.7875625,135.481628
5,キャコタ,豊中市,たこ焼き、お好み焼き,,3.06,9,103,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市旭丘5-105,34.7876295,135.4822147
6,米俵,豊中市,中華料理、食堂、喫茶店,,3.03,5,58,-,-,大阪府豊中市旭丘1-12,34.7862843,135.4785866
7,いかり 豊中店,豊中市,コンビニ・スーパー,,3.07,4,18,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市旭丘1-12,34.7863889,135.4783333
8,Cafe claps,園田駅 887m,カフェ,,3.12,15,387,-,"￥1,000～￥1,999",大阪府豊中市今在家町8-6,34.7547342,135.4570917
9,ペコーラパーラ,豊中市,カフェ、ケーキ,,3.21,30,929,-,"￥1,000～￥1,999",大阪府豊中市今在家町20-6,34.752929,135.4591562
10,鮨 こだん,少路（大阪モノレール）駅 523m,寿司,,3.48,23,1542,"￥10,000～￥14,999","￥10,000～￥14,999",大阪府豊中市上野坂2-1-19,34.8004185,135.4720792
11,ギュルリーシュシュ,少路（大阪モノレール）駅 592m,カフェ,,,21,,-,-,大阪府豊中市上野坂1-4-10,34.7990134,135.4764952
12,Bleu Bar,少路（大阪モノレール）駅 494m,バー,,3.04,3,67,"￥3,000～￥3,999",-,大阪府豊中市上野坂2-1-7 パルシェ上野坂 1F,34.800928,135.4718223
13,凡夫 ウエノサカ,少路（大阪モノレール）駅 493m,居酒屋,,3.14,7,324,"￥6,000～￥7,999",-,大阪府豊中市上野坂2-1-7 パルシェ上野坂 104,34.8008699,135.4718036
14,凡夫 ウエノサカ,少路（大阪モノレール）駅 501m,居酒屋、日本料理,,3.14,12,402,"￥3,000～￥3,999",-,大阪府豊中市上野坂2-1-7 パルシェ上野坂 1F,34.8008699,135.4718036
15,cafe 308,少路（大阪モノレール）駅 495m,カフェ,,3.02,3,514,-,-,大阪府豊中市上野坂2-1-7 パルシェ上野坂 202,34.8009061,135.4718019
16,きまぐれ,少路（大阪モノレール）駅 472m,バー,,,10,,-,-,大阪府豊中市上野坂2-3-3 エルベラーノ上野坂,34.8012145,135.471839
17,カルチャー&ブックカフェ ピコ,少路（大阪モノレール）駅 472m,カフェ,,3.02,1,14,-,-,大阪府豊中市上野坂2-3-3 エルベラーノ上野坂 1F,34.8012145,135.471839
18,シープ・シープ,豊中市,パン,,3.36,48,1036,～￥999,-,大阪府豊中市上野西2丁目19-3,34.7954211,135.471827
19,お出汁の薫る家庭料理 あきゑ,豊中駅 979m,居酒屋,,3.03,6,150,-,-,大阪府豊中市上野西2-2-30,34.7925211,135.4701468
20,スンドゥブ専門店 K.A.M,少路（大阪モノレール）駅 500m,韓国料理,,3.47,255,9398,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市上野西3-17-18,34.8011618,135.4715105
21,54closet,少路（大阪モノレール）駅 752m,ケーキ,,3.06,4,117,-,～￥999,大阪府豊中市上野西3-13-62,34.7980512,135.4721799
22,満留美,豊中市,日本料理、寿司,,3.1,9,126,-,-,大阪府豊中市上野西1-13-7,34.7948479,135.471496
23,北摂ポテトsecond,豊中市,惣菜・デリ,,3.04,3,143,-,-,大阪府豊中市上野西1-13-12 豊高前ビル 1F,34.7951442,135.4716928
24,ルプリュス,少路（大阪モノレール）駅 754m,カフェ、ワインバー,,3.13,19,511,-,-,大阪府豊中市上野西3-13-62,34.7980313,135.4721861
25,創作和食とよ吉,豊中市,創作料理、日本料理,,3.07,12,400,"￥5,000～￥5,999","￥2,000～￥2,999",大阪府豊中市上野西1-8-17 エルパティオ・コイデ 2F,34.7929344,135.4723735
26,やすまさ,豊中駅 977m,日本料理,,3.06,11,313,"￥6,000～￥7,999",-,大阪府豊中市上野西1-1-25,34.789279,135.471861
27,ファミリーマート 豊中上野西店,豊中市,コンビニ・スーパー,,3.02,1,2,-,-,大阪府豊中市上野西2-4-20,34.7941878,135.4709972
28,みうらんど,少路（大阪モノレール）駅 700m,イタリアン、カフェ、バー,,3.07,23,566,-,"￥1,000～￥1,999",大阪府豊中市上野西3-13-15,34.7986696,135.4719361
29,餃子 さわ藤,少路（大阪モノレール）駅 766m,餃子,,3.14,10,406,"￥1,000～￥1,999",～￥999,大阪府豊中市上野西3-13-63,34.7978856,135.4722077
30,いと,少路（大阪モノレール）駅 615m,カフェ,,,50,,-,-,大阪府豊中市上野西3-14-14 上野西三番館 2F,34.7996257,135.4717158
31,HONEY LABO,豊中市,スイーツ、パン,,3,2,22,-,-,大阪府豊中市上野西1-10-9A,34.7940799,135.4712732
32,ラ・メゾンブランシュ,豊中市,フレンチ、野菜料理,豊中の郊外に佇む、モダンな一軒家レストラン◇シェフにすべてを委ねるフレンチ&ワインを堪能,3.5,133,8055,"￥10,000～￥14,999","￥4,000～￥4,999",大阪府豊中市上野東1-4-14,34.7929278,135.4726778
33,くしかつ専門店 オリオ,豊中市,串揚げ、居酒屋、日本料理,,3.07,14,421,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市上野東2-2-50 和田マンション 1F,34.79448,135.472766
34,鮨うえの,少路（大阪モノレール）駅 993m,寿司,リニューアルオープンのお知らせ,3.58,111,7473,"￥15,000～￥19,999","￥10,000～￥14,999",大阪府豊中市上野東3-1-5,34.7955477,135.4730165
